datetime,Volume,VWAP,OBV,Cumulative_Return
2024-06-12 19:30:00,7244082,216.996535095697,33180120004,-0.08532933447830005
2024-06-13 13:30:00,51500769,216.9466245422942,33283121541,-0.04470371467861156
2024-06-13 14:30:00,18846663,216.9277186034143,33283121540,-0.05084661388317269
2024-06-13 15:30:00,11107560,216.9167849170335,33305336659,-0.04780092116707835
2024-06-13 16:30:00,8039080,216.9087032389248,33305336658,-0.05146659079807114
2024-06-13 17:30:00,6522802,216.9022906155206,33318382261,-0.04776224645418092
2024-06-13 18:30:00,6789247,216.8952263644705,33318382260,-0.05760893863198002
2024-06-13 19:30:00,7950205,216.8869578709306,33334282669,-0.05760791465791149
2024-06-14 13:30:00,30806798,216.8518318388729,33334282668,-0.0749024428398044
2024-06-14 14:30:00,12639953,216.8374233995137,33334282667,-0.07510841916205824
2024-06-14 15:30:00,10135975,216.8257791471393,33334282666,-0.07676024686912664
2024-06-14 16:30:00,6472900,216.8184074562354,33347228465,-0.07516001170166675
2024-06-14 17:30:00,6048331,216.8112969964981,33347228464,-0.08150943859913395
2024-06-14 18:30:00,6783180,216.8034712980236,33360794823,-0.0778443203387934
2024-06-14 19:30:00,5476629,216.7970435853636,33360794822,-0.08132874655965017
2024-06-17 13:30:00,23372206,216.7724611081456,33407539233,-0.06066904575227039
2024-06-17 14:30:00,24402195,216.7494925921474,33456343622,-0.0420194060414848
2024-06-17 15:30:00,12213924,216.7382254797344,33480771469,-0.03898568594526919
2024-06-17 16:30:00,10756746,216.7286248070652,33502284960,-0.03396711026799304
2024-06-17 17:30:00,12094372,216.7178231628727,33502284959,-0.03417300782301069
2024-06-17 18:30:00,10743366,216.7086620560581,33523771690,-0.02735909053459484
2024-06-17 19:30:00,9455818,216.7003474051851,33523771689,-0.03200493965091311
2024-06-18 13:30:00,25001940,216.6753404895619,33523771688,-0.05289078119297375
2024-06-18 14:30:00,13345347,216.6619259710328,33523771687,-0.05394382037163947
2024-06-18 15:30:00,7204863,216.65499169116,33538181412,-0.04671692646464765
2024-06-18 16:30:00,6152211,216.6490723924447,33538181411,-0.04673134086884367
2024-06-18 17:30:00,5674766,216.6436780248996,33549530942,-0.04480697852506477
2024-06-18 18:30:00,4365979,216.6394489341681,33549530941,-0.04795632892379231
2024-06-18 19:30:00,3519355,216.6360884630882,33556569650,-0.04562773312463819
2024-06-20 13:30:00,18894354,216.616686534436,33556569649,-0.05810863797744026
2024-06-20 14:30:00,8206286,216.6083496637387,33572982220,-0.05637056014690411
2024-06-20 15:30:00,4934812,216.6031789752905,33572982219,-0.06191923932275301
2024-06-20 16:30:00,6283227,216.5963079900879,33572982218,-0.06984306573425791
2024-06-20 17:30:00,5274417,216.5906942221714,33583531051,-0.06488750384581654
2024-06-20 18:30:00,4327111,216.5860820340554,33583531050,-0.06520548717772423
2024-06-20 19:30:00,3772053,216.5821113230107,33591075155,-0.06297747713899748
2024-06-21 13:30:00,20397613,216.5607927072234,33631870380,-0.06181605424353587
2024-06-21 14:30:00,9540191,216.5509637618442,33650950761,-0.05941562272510981
2024-06-21 15:30:00,4445180,216.5464428259981,33659841120,-0.05721352710704142
2024-06-21 16:30:00,4092050,216.5421389629257,33659841119,-0.06323559737151185
2024-06-21 17:30:00,4071579,216.5379228155663,33667984276,-0.06048110712707044
2024-06-21 18:30:00,3733610,216.5340509838531,33667984275,-0.0607835733134775
2024-06-21 19:30:00,6256377,216.5277702616468,33680497028,-0.05513115768775934
2024-06-24 13:30:00,25449582,216.5029547601181,33731396191,-0.05033037341814361
2024-06-24 14:30:00,10961865,216.4925467798911,33753319920,-0.04609750092040155
2024-06-24 15:30:00,4512822,216.4883294886401,33762345563,-0.04359388432275857
2024-06-24 16:30:00,4500454,216.4838851149833,33762345562,-0.05278239747617797
2024-06-24 17:30:00,4245320,216.4796740888002,33762345561,-0.05358298766332414
2024-06-24 18:30:00,4537312,216.4753042877736,33771420184,-0.04865271005765281
2024-06-24 19:30:00,4395552,216.4708568318503,33771420183,-0.05710404064894103
2024-06-25 13:30:00,19831866,216.4528525113405,33811083914,-0.03928350486474952
2024-06-25 14:30:00,8823107,216.4448097703878,33811083913,-0.04005778679505723
2024-06-25 15:30:00,9033918,216.4365817674104,33829151748,-0.04000981754830668
2024-06-25 16:30:00,5641166,216.4313636237137,33829151747,-0.04253564650651387
2024-06-25 17:30:00,5372795,216.4266109871418,33839897336,-0.03560137288142351
2024-06-25 18:30:00,5685173,216.4217104970258,33851267681,-0.03174681941839841
2024-06-25 19:30:00,3980354,216.4182638672761,33851267680,-0.03246958757633367
2024-06-26 13:30:00,30500888,216.3961987090429,33912269455,-0.00797541895111975
2024-06-26 14:30:00,11006490,216.3885454155429,33934282434,-0.003270730709476921
2024-06-26 15:30:00,12639066,216.3803071594941,33959560565,0.004180807354711158
2024-06-26 16:30:00,7771004,216.3753354049386,33975102572,0.006194491744163422
2024-06-26 17:30:00,9763100,216.3694197544135,33994628771,0.01200184252317915
2024-06-26 18:30:00,9687429,216.3637236514354,34014003628,0.01504745647203731
2024-06-26 19:30:00,9259075,216.358217675524,34014003627,0.01383436226973123
2024-06-27 13:30:00,27604291,216.3421574407232,34069212208,0.0159508379022204
2024-06-27 14:30:00,11679105,216.3346793222065,34069212207,0.005683449916713101
2024-06-27 15:30:00,7681449,216.3300445630681,34084575104,0.01202815078001773
2024-06-27 16:30:00,5580593,216.3267895781409,34095736289,0.01547595023611437
2024-06-27 17:30:00,5164761,216.3236455585943,34095736288,0.01102103289996559
2024-06-27 18:30:00,4884754,216.3208246461338,34105505795,0.01641540706040523
2024-06-27 19:30:00,6425266,216.3172108438563,34118356326,0.01899645185107901
2024-06-28 13:30:00,31663590,216.3022620677977,34181683505,0.03458598444157412
2024-06-28 14:30:00,13738003,216.295967916477,34209159510,0.03690221378466951
2024-06-28 15:30:00,13376268,216.2885346114844,34209159509,0.01986785378342826
2024-06-28 16:30:00,9751737,216.2829083719078,34209159508,0.01610569428828224
2024-06-28 17:30:00,5035823,216.2799943837593,34209159507,0.01576502599239404
2024-06-28 18:30:00,5588993,216.2766499402321,34209159506,0.01229611691703791
2024-06-28 19:30:00,7806119,216.2724199082906,34224771743,0.02209373710678175
2024-07-01 13:30:00,43334831,216.2641145603306,34311441404,0.0830064099201282
2024-07-01 14:30:00,23544553,216.2600012000555,34358530509,0.08589716748292497
2024-07-01 15:30:00,12999734,216.2576825419548,34358530508,0.08522607063183418
2024-07-01 16:30:00,9330148,216.2558962814967,34358530507,0.0829207111673127
2024-07-01 17:30:00,15262650,216.2540574906139,34389055806,0.0952916569585982
2024-07-01 18:30:00,14670883,216.2516188915094,34389055805,0.08728063521679319
2024-07-01 19:30:00,11024848,216.2495376848959,34389055804,0.08331667406290366
2024-07-02 13:30:00,73622009,216.2781572780639,34536299821,0.1843898461471014
2024-07-02 14:30:00,40081170,216.2938525061953,34616462160,0.1851176554081435
2024-07-02 15:30:00,21017667,216.3017228719768,34616462159,0.1822367437498522
2024-07-02 16:30:00,14462299,216.3064171427677,34616462158,0.1735494265193775
2024-07-02 17:30:00,17485747,216.3128861334649,34651433651,0.1815718695104089
2024-07-02 18:30:00,13829481,216.3178721695382,34651433650,0.1799762816098756
2024-07-02 19:30:00,14895715,216.3243994485755,34681225079,0.193681623146974
2024-07-03 13:30:00,71003540,216.3831500493509,34823232158,0.2624406154115584
2024-07-03 14:30:00,48952000,216.4200385958049,34823232157,0.2499225324233438
2024-07-03 15:30:00,25523183,216.4413459192272,34874278522,0.2645570910440476
2024-07-05 13:30:00,54276039,216.4892291146835,34982830599,0.2732810350392825
2024-07-05 14:30:00,22722967,216.5104010779442,35028276532,0.2823947193184606
2024-07-05 15:30:00,15033144,216.5232673926259,35028276531,0.2691446524056937
2024-07-05 16:30:00,13828783,216.5354099518429,35055934096,0.2732036068462518
2024-07-05 17:30:00,16871953,216.5514747258721,35089678001,0.2864701361113517
2024-07-05 18:30:00,15136314,216.5664501410625,35119950628,0.2932231663263061
2024-07-05 19:30:00,11194774,216.5778097133859,35142340175,0.2978525530902913
2024-07-08 13:30:00,39732723,216.6170235861392,35142340174,0.293188114906267
2024-07-08 14:30:00,24857126,216.6456597649385,35192054425,0.3228437429749398
2024-07-08 15:30:00,23474007,216.6725887247361,35192054424,0.3222692147552384
2024-07-08 16:30:00,23325802,216.6964547689753,35192054423,0.3004851904205736
2024-07-08 17:30:00,14895592,216.7116288109994,35192054422,0.299892073133166
2024-07-08 18:30:00,14056742,216.7263768557069,35220167905,0.3054717866000163
2024-07-08 19:30:00,12711941,216.7397087759435,35245591786,0.3055440949227042
2024-07-09 13:30:00,37588834,216.7825233977832,35320769453,0.321907830676271
2024-07-09 14:30:00,22459695,216.8097701698038,35365688842,0.3354836788773139
2024-07-09 15:30:00,27271337,216.8471939466758,35420231515,0.3642081994487163
2024-07-09 16:30:00,24952439,216.8786413201466,35420231514,0.3445694795549323
2024-07-09 17:30:00,18316161,216.9030184172015,35456863835,0.3574747035083008
2024-07-09 18:30:00,15324132,216.9232290633217,35456863834,0.3555543582935601
2024-07-09 19:30:00,9828673,216.9361291270168,35456863833,0.3545834733420878
2024-07-10 13:30:00,38946579,216.9835487250962,35456863832,0.3379103398853422
2024-07-10 14:30:00,21403881,217.0112838724365,35499671593,0.3523121413235375
2024-07-10 15:30:00,13761208,217.0297830992978,35527194008,0.3612430856150948
2024-07-10 16:30:00,13673701,217.0487424587396,35554541409,0.3690118981060662
2024-07-10 17:30:00,15570126,217.0706715092055,35585681660,0.3731416642918273
2024-07-10 18:30:00,12619474,217.0882471969187,35585681659,0.3705352564511475
2024-07-10 19:30:00,8299970,217.0992653799805,35585681658,0.3589711234586559
2024-07-11 13:30:00,48198511,217.1672508648425,35682078679,0.3742870974383721
2024-07-11 14:30:00,26929787,217.2017263509518,35682078678,0.3513834756105847
